parameter,post_mean,post_sd,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
diag1_Digestive,-0.21747327848114487,0.11046561365676726,-0.4352588075690304,0.0031953863045751283,0.804549103406627,0.647097171758492,1.003200496993485
diag1_Endocrine_Other,0.04408587870072966,0.121001711404797,-0.19990451781726343,0.2759829274249147,1.0450721004689287,0.8188089310095997,1.317825365162751
diag1_Genitourinary,0.011514920869742302,0.10723513628772338,-0.19671522320895263,0.22004375250553432,1.0115814727723829,0.8214245226475974,1.2461312507591205
diag1_Infectious,-0.03424268899499014,0.160144219431791,-0.34716809879117033,0.27870134873919344,0.9663369568326968,0.7066865251220881,1.321412643381582
diag1_Injury,0.1144301594932569,0.0889520517126202,-0.05873346600296075,0.29008777336854075,1.121234330755541,0.9429580660484139,1.3365447959160857
diag1_Mental,-0.19391358029747388,0.1813028943373393,-0.5487716832244092,0.15623424498584892,0.8237290876154245,0.577658922929514,1.1691000268369396
diag1_Musculoskeletal,-0.09351837237531815,0.10634844307766221,-0.3044658011838902,0.11093633561643658,0.9107212851592328,0.7375172500201351,1.1173237708609551
diag1_Neoplasms,-0.5074867470367286,0.1472431021651756,-0.7919730636775034,-0.21659846057829835,0.6020066741922228,0.4529502134252604,0.8052532453190748
diag1_Other,-0.34693198809135467,0.08437959098739174,-0.5149019176310852,-0.18101502780781287,0.7068534010719083,0.5975592017661027,0.8344228190558087
diag1_Respiratory,-0.35968658203533593,0.08137345817532603,-0.5193662262910488,-0.20029377368585524,0.6978950246353818,0.5948974588884283,0.818490266852919
diag1_Skin,-0.028079023265607298,0.12398928258719001,-0.27727187818135385,0.21085078221002373,0.9723115285331091,0.7578484266467677,1.2347280979165216
comorbid_circulatory,0.1014204153753452,0.05530558676056389,-0.005035152938990875,0.21217032717648884,1.1067418352534022,0.9949775021944819,1.2363584525896674
comorbid_diabetes,0.11308180716004802,0.05599012447642046,0.0037512776304121096,0.2244192373745895,1.1197235306039406,1.0037583224786484,1.2515956251174447
comorbid_digestive,0.11409540411478762,0.09162940182449751,-0.06665890373539429,0.29366079105221543,1.1208590543491983,0.9355142473362357,1.341328835746773
comorbid_genitourinary,0.011341066248933664,0.07031646425878796,-0.12495200789574107,0.14847079695117443,1.011405619945873,0.8825392564842707,1.1600589200224807
comorbid_infectious,-0.007784426725733038,0.10672012862264325,-0.2209086304421147,0.20147955033003767,0.9922457934575484,0.8017899361354488,1.2232112225412461
comorbid_mental,0.0600642646570501,0.10093589628090308,-0.13836186959673707,0.2578413083795804,1.0619047872995775,0.8707835246416338,1.2941334341965631
comorbid_neoplasms,0.41503266438850434,0.11112717984970383,0.19820304493466143,0.6308938257852188,1.5144202074941588,1.2192099230901827,1.8792895862727848
comorbid_respiratory,0.05673393818442775,0.06557428901643982,-0.07294437114715235,0.18524211016686098,1.0583741799757318,0.929652544091957,1.203509786812579
insulin_use,0.010570577127025376,0.04608217838472176,-0.07913054718664396,0.10070137798703002,1.0106266430530157,0.9239193015062678,1.1059463325270176
med_change,0.023524867670880446,0.04265233950889952,-0.06079027103019866,0.10787470328868248,1.0238037600450223,0.9410205783579385,1.1139081676122207
diabetes_med,0.16798784051194018,0.055948241177347625,0.057101562685506466,0.2768077547824849,1.1829222268316681,1.058763335782822,1.3189127919844816
A1C_measured,0.35198274263253787,0.10143671933755091,0.15419741453313454,0.5515386227592867,1.421883985532419,1.1667211917642861,1.7359218930778428
A1C_level,-0.06584773617596777,0.04240940442477946,-0.14943014307867877,0.0175905999278998,0.9362734140091177,0.8611985966010347,1.0177462257085503
glu_measured,0.22756571402291523,0.17268284151391955,-0.10923750983227656,0.5592285647102447,1.2555399436238945,0.89651746049787,1.7493224905381037
glu_level,0.007190680593231738,0.09142242680999335,-0.17078935588648092,0.18288882467923134,1.0072165956152384,0.8429991275745254,1.200680914574558
